start_time_local,end_time_local,duration_s,avg_dbfs,peak_dbfs,threshold_dbfs,blocks
2025-08-18T17:19:17+02:00,2025-08-18T17:19:33+02:00,16.4,-36.4,-32.8,-35.0,1861
2025-08-18T17:19:55+02:00,2025-08-18T17:20:08+02:00,13.5,-36.7,-29.7,-35.0,1400
